timestamp,day_of_week,date,time,time_bucket_30,bucket_index,facility_name,status,percent_full,raw_text,people,capacity,is_open,hour_summary,is_data_unavailable,is_valid_percent,predictor_exclusion_reason,is_valid_predictor_row,hour,minute,bucket_30_minute
2026-03-31T09:38:30-07:00,Tuesday,2026-03-31,09:38:30,09:30,19,Main Gym Fitness Gym,Not Busy,19.0,Not Busy (19%),14.0,72.0,True,open,False,True,ok,True,9,38,30
2026-03-31T09:38:30-07:00,Tuesday,2026-03-31,09:38:30,09:30,19,Outback Climbing Center,Closed,14.0,Closed,4.0,30.0,False,Closed until 10:00am,False,True,closed,False,9,38,30
2026-03-31T09:38:30-07:00,Tuesday,2026-03-31,09:38:30,09:30,19,RIMAC Fitness Gym,Busy,53.0,Busy (53%),80.0,150.0,True,open,False,True,ok,True,9,38,30
2026-03-31T09:38:30-07:00,Tuesday,2026-03-31,09:38:30,09:30,19,Triton Esports Center,Not Busy,15.0,Not Busy (15%),5.0,35.0,True,open,False,True,ok,True,9,38,30
2026-03-31T10:15:48-07:00,Tuesday,2026-03-31,10:15:48,10:30,21,Main Gym Fitness Gym,Active,39.0,Not Busy (39%),28.0,72.0,True,open,False,True,ok,True,10,15,30
2026-03-31T10:15:48-07:00,Tuesday,2026-03-31,10:15:48,10:30,21,Outback Climbing Center,Active,43.0,Not Busy (43%),13.0,30.0,True,open,False,True,ok,True,10,15,30
2026-03-31T10:15:48-07:00,Tuesday,2026-03-31,10:15:48,10:30,21,RIMAC Fitness Gym,Busy,64.0,Busy (64%),96.0,150.0,True,open,False,True,ok,True,10,15,30
2026-03-31T10:15:48-07:00,Tuesday,2026-03-31,10:15:48,10:30,21,Triton Esports Center,Active,28.0,Not Busy (28%),10.0,35.0,True,open,False,True,ok,True,10,15,30
2026-03-31T11:09:02-07:00,Tuesday,2026-03-31,11:09:02,11:00,22,Triton Esports Center,Active,45.0,Not Busy (45%),16.0,35.0,True,open,False,True,ok,True,11,9,0
2026-03-31T11:09:02-07:00,Tuesday,2026-03-31,11:09:02,11:00,22,RIMAC Fitness Gym,Busy,63.0,Busy (63%),95.0,150.0,True,open,False,True,ok,True,11,9,0
2026-03-31T11:09:02-07:00,Tuesday,2026-03-31,11:09:02,11:00,22,Main Gym Fitness Gym,Active,48.0,Busy (48%),34.0,72.0,True,open,False,True,ok,True,11,9,0
2026-03-31T11:09:02-07:00,Tuesday,2026-03-31,11:09:02,11:00,22,Outback Climbing Center,Busy,74.0,Busy (74%),22.0,30.0,True,open,False,True,ok,True,11,9,0
2026-03-31T12:18:17-07:00,Tuesday,2026-03-31,12:18:17,12:30,25,Main Gym Fitness Gym,Active,45.0,Not Busy (45%),32.0,72.0,True,open,False,True,ok,True,12,18,30
2026-03-31T12:18:17-07:00,Tuesday,2026-03-31,12:18:17,12:30,25,Outback Climbing Center,Busy,59.0,Busy (59%),18.0,30.0,True,open,False,True,ok,True,12,18,30
2026-03-31T12:18:17-07:00,Tuesday,2026-03-31,12:18:17,12:30,25,RIMAC Fitness Gym,Busy,51.0,Busy (51%),76.0,150.0,True,open,False,True,ok,True,12,18,30
2026-03-31T12:18:17-07:00,Tuesday,2026-03-31,12:18:17,12:30,25,Triton Esports Center,Active,45.0,Not Busy (45%),16.0,35.0,True,open,False,True,ok,True,12,18,30
2026-03-31T13:02:02-07:00,Tuesday,2026-03-31,13:02:02,13:00,26,Triton Esports Center,Busy,60.0,Busy (60%),21.0,35.0,True,open,False,True,ok,True,13,2,0
2026-03-31T13:02:02-07:00,Tuesday,2026-03-31,13:02:02,13:00,26,Main Gym Fitness Gym,Busy,56.0,Busy (56%),40.0,72.0,True,open,False,True,ok,True,13,2,0
2026-03-31T13:02:02-07:00,Tuesday,2026-03-31,13:02:02,13:00,26,Outback Climbing Center,Very Active,99.0,Very Busy (99%),50.0,30.0,True,open,False,True,ok,True,13,2,0
2026-03-31T13:02:02-07:00,Tuesday,2026-03-31,13:02:02,13:00,26,RIMAC Fitness Gym,Busy,70.0,Busy (70%),104.0,150.0,True,open,False,True,ok,True,13,2,0
2026-03-31T13:53:27-07:00,Tuesday,2026-03-31,13:53:27,14:00,28,Triton Esports Center,Active,47.0,Busy (47%),16.0,35.0,True,open,False,True,ok,True,14,53,0
2026-03-31T13:53:27-07:00,Tuesday,2026-03-31,13:53:27,14:00,28,RIMAC Fitness Gym,Busy,54.0,Busy (54%),82.0,150.0,True,open,False,True,ok,True,14,53,0
2026-03-31T13:53:27-07:00,Tuesday,2026-03-31,13:53:27,14:00,28,Main Gym Fitness Gym,Active,49.0,Busy (49%),35.0,72.0,True,open,False,True,ok,True,14,53,0
2026-03-31T13:53:27-07:00,Tuesday,2026-03-31,13:53:27,14:00,28,Outback Climbing Center,Very Active,75.0,Busy (75%),22.0,30.0,True,open,False,True,ok,True,14,53,0
2026-03-31T14:27:42-07:00,Tuesday,2026-03-31,14:27:42,14:30,29,Main Gym Fitness Gym,Active,34.0,Not Busy (34%),24.0,72.0,True,open,False,True,ok,True,14,27,30
2026-03-31T14:27:42-07:00,Tuesday,2026-03-31,14:27:42,14:30,29,Outback Climbing Center,Very Active,99.0,Very Busy (99%),34.0,30.0,True,open,False,True,ok,True,14,27,30
2026-03-31T14:27:42-07:00,Tuesday,2026-03-31,14:27:42,14:30,29,RIMAC Fitness Gym,Busy,74.0,Busy (74%),111.0,150.0,True,open,False,True,ok,True,14,27,30
2026-03-31T14:27:42-07:00,Tuesday,2026-03-31,14:27:42,14:30,29,Triton Esports Center,Busy,57.0,Busy (57%),20.0,35.0,True,open,False,True,ok,True,14,27,30
2026-03-31T15:03:04-07:00,Tuesday,2026-03-31,15:03:04,15:00,30,Triton Esports Center,Busy,63.0,Busy (63%),22.0,35.0,True,open,False,True,ok,True,15,3,0
2026-03-31T15:03:04-07:00,Tuesday,2026-03-31,15:03:04,15:00,30,Main Gym Fitness Gym,Active,38.0,Not Busy (38%),28.0,72.0,True,open,False,True,ok,True,15,3,0
2026-03-31T15:03:04-07:00,Tuesday,2026-03-31,15:03:04,15:00,30,Outback Climbing Center,Very Active,99.0,Very Busy (99%),44.0,30.0,True,open,False,True,ok,True,15,3,0
2026-03-31T15:03:04-07:00,Tuesday,2026-03-31,15:03:04,15:00,30,RIMAC Fitness Gym,Busy,70.0,Busy (70%),105.0,150.0,True,open,False,True,ok,True,15,3,0
2026-03-31T15:47:21-07:00,Tuesday,2026-03-31,15:47:21,16:00,32,Triton Esports Center,Very Active,86.0,Very Busy (86%),30.0,35.0,True,open,False,True,ok,True,16,47,0
2026-03-31T15:47:21-07:00,Tuesday,2026-03-31,15:47:21,16:00,32,RIMAC Fitness Gym,Busy,69.0,Busy (69%),104.0,150.0,True,open,False,True,ok,True,16,47,0
2026-03-31T15:47:21-07:00,Tuesday,2026-03-31,15:47:21,16:00,32,Outback Climbing Center,Very Active,99.0,Very Busy (99%),66.0,30.0,True,open,False,True,ok,True,16,47,0
2026-03-31T15:47:21-07:00,Tuesday,2026-03-31,15:47:21,16:00,32,Main Gym Fitness Gym,Busy,50.0,Busy (50%),36.0,72.0,True,open,False,True,ok,True,16,47,0
2026-03-31T16:19:35-07:00,Tuesday,2026-03-31,16:19:35,16:30,33,Triton Esports Center,Busy,67.0,Busy (67%),23.0,35.0,True,open,False,True,ok,True,16,19,30
